StationID,SampleID,Date,HYL11,HYL2,HYL21,HYL2B,HYL31,HYL4,HYL52,HYL71,HYL8,HYL9,L11K2,L2K2,L21K2,L2BK2,L31K2,L4K2,L52K2,L71K2,L8K2,L9K2,Bird,Dog,Horse,Animal,Pig,Ruminant,Human,Nonhuman,Prep0_mm,Prep1_mm,Prep2_mm,Temp0_c,Temp1_c,Temp2_c,Elv,Flowacc,Season2,DateID,Label
22,43,4/4/2013,0.0137,0.2842,0.2174,0.0668,0.0029,0.3076,0.0953,0.2108,0.0737,0.0117,0.0137,0.2842,0.2174,0.0668,0.0029,0.3076,0.0953,0.2108,0.0737,0.0117,0,0,0,0.01,0,0.01,0.38,0.01,23.11,0,0,15.94,13.83,12.89,28,118.24,2,19,1
23,44,12/3/2012,0.0164,0.2252,0.1975,0.0277,0.0026,0.4161,0.0967,0.1643,0.0637,0.0151,0.0164,0.2252,0.1975,0.0277,0.0026,0.4161,0.0967,0.1643,0.0637,0.0151,0,0,0,0,0,0,0.04,0,6.1,58.93,44.2,10.61,14.28,13.72,46,5.71,2,15,1
23,45,4/4/2013,0.0164,0.2252,0.1975,0.0277,0.0026,0.4161,0.0967,0.1643,0.0637,0.0151,0.0164,0.2252,0.1975,0.0277,0.0026,0.4161,0.0967,0.1643,0.0637,0.0151,0.01,0,0.01,0.01,0,0,0.08,0.02,23.11,0,0,15.94,13.83,12.89,46,5.71,2,19,1
24,46,1/23/2012,0,0.0506,0.0468,0.0038,0.0014,0.8985,0.0269,0.0218,0,0.0007,0.0208,0.2239,0.172,0.0519,0.0014,0.6707,0.0237,0.0475,0,0.012,0,0,0,0.01,0,0.01,0.01,0.01,87.12,2.79,91.95,8.44,8.17,10.5,32,1448.28,2,13,0
24,47,3/5/2012,0,0.0506,0.0468,0.0038,0.0014,0.8985,0.0269,0.0218,0,0.0007,0.0208,0.2239,0.172,0.0519,0.0014,0.6707,0.0237,0.0475,0,0.012,0.01,0.01,0.01,0.02,0,0,0.01,0.03,0,0,0,13.89,12.39,10.44,32,1448.28,1,14,0
25,48,8/16/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0.01,0,0,0,0,0,0.01,0.01,0,0,0,18.28,18.28,18.11,33,1967.3,1,1,0
25,49,9/22/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0.01,0,0,0.01,0,0.01,0.02,0.02,0,0,0,20.72,23.39,23.5,33,1967.3,1,3,0
25,50,9/23/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0.01,0,0,0.01,0,0.01,0.01,0.02,0,0,0,20.72,20.72,23.39,33,1967.3,1,4,0
25,51,9/24/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,21.72,20.72,20.72,33,1967.3,1,5,0
25,52,9/25/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0,0,0.01,0.02,0,0.01,0.17,0.02,0.51,0,0,16.89,21.72,20.72,33,1967.3,1,6,1
25,53,9/26/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0,0.03,0,0.04,0,0.01,0.57,0.04,1.27,0.51,0,15.89,16.89,21.72,33,1967.3,1,7,1
25,54,10/6/2011,0.008,0.0798,0.0699,0.0099,0.0011,0.7694,0.079,0.0571,0,0.0054,0.02,0.2441,0.189,0.0551,0.0011,0.6374,0.0271,0.0566,0,0.0137,0.01,0.06,0,0.07,0,0.01,0.54,0.08,5.59,32,22.35,13.11,14.44,13.89,33,1967.3,2,9,1
26,55,8/16/2011,0,0.198,0.0838,0.1142,0,0.0665,0.12,0.4892,0.1264,0,0.0184,0.2086,0.1831,0.0255,0.0031,0.4207,0.0987,0.1448,0.0908,0.0151,0.02,0,0,0.01,0,0.01,0.01,0.03,0,0,0,19.17,19.28,19.22,15,25.52,1,1,0
26,56,10/6/2011,0,0.198,0.0838,0.1142,0,0.0665,0.12,0.4892,0.1264,0,0.0184,0.2086,0.1831,0.0255,0.0031,0.4207,0.0987,0.1448,0.0908,0.0151,0.01,0,0.01,0.05,0,0.04,0.05,0.06,5.08,30.99,20.57,12.67,14.39,13.67,15,25.52,2,9,0
27,57,12/3/2012,0.0236,0.1067,0.0867,0.02,0.0016,0.6905,0.0686,0.0669,0.0362,0.006,0.0236,0.1067,0.0867,0.02,0.0016,0.6905,0.0686,0.0669,0.0362,0.006,0.01,0,0,0.01,0,0.01,0.01,0.02,6.35,62.74,43.43,10.67,14.17,13.56,21,218947.69,2,15,0
27,58,4/4/2013,0.0236,0.1067,0.0867,0.02,0.0016,0.6905,0.0686,0.0669,0.0362,0.006,0.0236,0.1067,0.0867,0.02,0.0016,0.6905,0.0686,0.0669,0.0362,0.006,0.02,0.03,0.01,0.04,0,0,0.03,0.06,22.35,0,0,15.33,13.44,12.61,21,218947.69,2,19,0
